Product ID,Part Number,Product Name,Category,Sub-Category,Compatible Series / Models,Description,Key Features,Unit of Measure,Currency,Price EUR,Price GBP,Image Reference / Alt Text,Catalogue Page,Stock Status,Notes / Expert Tips,Image URL
TS-001,BL15956,Ultimate Seat – CommandARM w/ CommandPRO,Tractor Parts,Seats,6R Series Tractors,"Premium operator seat with dynamic damping system, active climate (ventilation & heating), fully automatic weight adjustment, pneumatic lumbar support, backrest extension, swivel, adjustable cushion and armrest.",Dynamic damping; Active ventilation & seat heating; Fully automatic weight; Pneumatic lumbar; Swivel; Backrest extension; Adjustable cushion,Each,EUR/GBP,–,–,Ultimate seat for 6R Series with CommandARM and CommandPRO | Side view of premium tractor seat,6,In Stock,"Recommended replacement after ~5,000 hrs use",/images/BL15956.jpeg
TS-002,BL16349,Ultimate Seat Leather – CommandARM w/ CommandPRO,Tractor Parts,Seats,6R Series Tractors,"Premium leather Ultimate seat, identical features to BL15956 with luxury leather upholstery.",Leather upholstery; Dynamic damping; Active climate; Fully automatic weight; Pneumatic lumbar,Each,EUR/GBP,–,–,Leather ultimate seat 6R | Front view,6,In Stock,Leather variant,/images/BL16349.jpeg
TS-003,BL15955,Ultimate Seat – CommandARM w/o CommandPRO,Tractor Parts,Seats,6R Series Tractors,Ultimate seat for tractors with CommandARM but without CommandPRO. Full suspension and climate package.,Dynamic damping; Active climate; Fully automatic weight; Pneumatic lumbar; Swivel,Each,EUR/GBP,–,–,Ultimate seat no CommandPRO | Side angle,6,In Stock,,/images/BL15955.jpeg
TS-004,BL16352,Premium Seat – CommandARM w/ CommandPRO,Tractor Parts,Seats,6R Series Tractors,"Premium seat with heavy duty & low frequency suspension, passive climate (seat heating), automatic weight adjustment, pneumatic lumbar, swivel and backrest extension.",Heavy duty suspension; Passive climate seat heating; Automatic weight; Pneumatic lumbar; Swivel; Backrest extension,Each,EUR/GBP,–,–,Premium seat 6R CommandARM CommandPRO | Three-quarter view,6,In Stock,Not for BL15747,/images/BL16352.jpeg
TS-005,BL16171,Standard Seat – w/o CommandARM,Tractor Parts,Seats,6R Series Tractors,"Standard seat without CommandARM. Low frequency, lateral, passive air, fore-and-after suspension. Manual weight, mechanical lumbar, swivel, operator presence switch.",Low frequency suspension; Lateral suspension; Passive air suspension; Fore-and-after suspension; Manual weight; Mechanical lumbar,Each,EUR/GBP,–,–,Standard seat 6R no CommandARM | Straight-on view,6,In Stock,,/images/BL16171.jpeg
TS-006,RE183943,"Seat for 7, 8, 9 Series Tractors (older)",Tractor Parts,Seats,7020; 7030; 8010(T); 8020(T); 8030(T); 9000 (SN 30001-); 9020(T); 9030(T),"Replacement seat with air suspension, side & horizontal suspension, height & weight adjustment, mechanical lumbar, adjustable swivel adapter, armrests with height/tilt adjustment, seat switch.",Air suspension; Side & horizontal suspension; Height & weight adjustment; Mechanical lumbar; Swivel adapter; Seat switch,Each,EUR/GBP,–,–,Older 7/8/9 series seat RE183943 | Padded seat side view,7,In Stock,For older tractor models,/images/RE183943.jpeg
TS-007,TY16163,Seat for 7000 / 7010 Series,Tractor Parts,Seats,7000; 7010,Replacement operator seat for 7000 and 7010 series tractors.,Air suspension; Side suspension; Height & weight adjustment; Mechanical lumbar; Seat switch,Each,EUR/GBP,–,–,Seat TY16163 for 7000 7010 | Compact seat front view,7,In Stock,,/images/TY16163.jpeg
LT-001,RE575338,"LED Work Light 2,100 lm Flood – Rear/Front Cab Roof / Beltline / Rear Fender",Tractor Parts,LED Work Lights,6020; 6030; 6030 Premium; 6MC; 6RC,"Direct-replacement LED flood light, 2,100 effective lumens. White daylight-quality light reduces eyestrain. Replaces existing halogen units.","2,100 eff. lumens; Flood beam; Direct halogen replacement; Daylight-quality white light; Reduces eyestrain",Each,EUR/GBP,–,–,RE575338 LED work light oval shape | Mounted on tractor cab roof,8,In Stock,"Suitable for rear/front cab roof, beltline, rear fender",/images/RE575338.jpeg
LT-002,AL225025,"LED Work Light 1,600 lm Flood – Rear/Front Cab Roof",Tractor Parts,LED Work Lights,6R (side positions),"Direct-replacement 1,600 lm flood LED for 6R tractors, side mounting positions on cab roof.","1,600 eff. lumens; Flood beam; 6R side positions; Daylight white",Each,EUR/GBP,–,–,AL225025 LED work light rectangular | Side mounting position,8,In Stock,,/images/AL225025.jpeg
LT-003,RE331642,"LED Work Light 1,600 lm Flood – Front Cab Roof",Tractor Parts,LED Work Lights,5R Stage IIIB; 7R; 8R(T); 9R(T),"1,600 lm flood LED for front cab roof of 5R, 7R, 8R, 9R tractors.","1,600 eff. lumens; Flood beam; Front cab roof mount",Each,EUR/GBP,–,–,RE331642 LED flood light | Front cab position,8,In Stock,,/images/RE331642.jpeg
LT-004,RE573609,"LED Work Light 1,600 lm Flood – Beltline / Rear Fender",Tractor Parts,LED Work Lights,6R; 7R; 8R; 8R(T); 9R(T),"1,600 lm flood LED for beltline and rear fender positions.","1,600 eff. lumens; Flood beam; Beltline & rear fender",Each,EUR/GBP,–,–,RE573609 LED work light rectangular slim | Rear fender mount,8,In Stock,,/images/RE573609.jpeg
LT-005,RE574752,"LED Work Light 2,200 lm Flood – Cab Roof / Beltline / Rear Fender",Tractor Parts,LED Work Lights,7020; 8020; 8030; 9020; 9030,"2,200 lm high-output flood LED for 7020–9030 series tractors.","2,200 eff. lumens; Flood beam; Multiple mount positions",Each,EUR/GBP,–,–,RE574752 high lumen LED oval | 7020-9030 cab roof,8,In Stock,,/images/RE574752.jpeg
CF-001,BL16516,Category 4 Cab Filtration System – 6R Tractors,Tractor Parts,Cab Filtration,6R Tractors,"Upgrade kit to Category 4 (highest cab protection class). 3-in-1 filter: particle, activated carbon and biofunctional layers. Fresh air rate >30 m³/h, >20 Pa overpressure, >98% efficiency vs aerosols & vapours. Driver may work without PPE per EN 15695.",Category 4 highest protection; >98% filter efficiency; >20 Pa overpressure; 3-layer: particle + activated carbon + biofunctional; EN 15695 compliant,Kit,EUR/GBP,–,–,BL16516 category 4 filtration kit installed on 6R tractor cab | 3-layer filter cross-section diagram,9,In Stock,NEW for 6R tractors. Ideal for spraying operations,
CF-002,BKK11579,Category 4 Cab Filtration System – 5430i / R4040i / R4050i,Sprayer Parts,Cab Filtration,5430i; R4040i; R4050i,Category 4 cab upgrade kit for R40 and R41 Series 40i/50i sprayers.,Category 4; 3-layer filtration; EN 15695; >98% efficiency,Kit,EUR/GBP,–,–,BKK11579 cab filter kit sprayer | Installed view,9,In Stock,,
CF-003,TY27778,Anti-Allergen Cab Fresh Air Filter – 6R,Tractor Parts,Cab Filtration,6R Tractors,Removes >95% of pollutants and allergens. 3-layer filter with activated carbon layer.,3-layer construction; Particle filter; Activated carbon; Biofunctional layer; >95% allergen reduction,Each,EUR/GBP,–,–,TY27778 anti-allergen air filter orange frame | Filter element close-up,9,In Stock,"For mowing, threshing, baling",/images/TY27778.png
CF-004,TY27779,Anti-Allergen Cab Recirculation Air Filter – 6R / 6M / 6030,Tractor Parts,Cab Filtration,6R; 6M; 6030,Recirculation filter with anti-allergen treatment. Works with fresh air filter TY27778.,Anti-allergen; Recirculation; 3-layer; Activated carbon,Each,EUR/GBP,–,–,TY27779 recirculation filter | Flat rectangular filter element,9,In Stock,Also listed for W/T MY14+ and S Series MY15+ combines,/images/TY27779.png
HT-001,AL222036,Manual Wagon Hitch – Cylindrical Pin 30mm – 330mm Rail,Tractor Parts,Hitch Solutions,Tractors with 330 mm inner rail width,Height-adjustable manual wagon hitch with 30 mm cylindrical pin for tractors with 330 mm inner rail width.,Manual operation; 30 mm cylindrical pin; Height-adjustable; 330 mm rail,Each,EUR/GBP,–,–,AL222036 manual wagon hitch green | Side profile,10,In Stock,Hitch pin AL160394 sold separately,/images/AL222036.jpeg
HT-002,BL15936,Automatic Wagon Hitch – Cylindrical Pin 30mm – 390mm Rail,Tractor Parts,Hitch Solutions,Tractors with 390 mm inner rail width,Automatic height-adjustable wagon hitch with 30 mm cylindrical pin for 390 mm rail tractors.,Automatic coupling; 30 mm cylindrical pin; Height-adjustable; 390 mm rail,Each,EUR/GBP,–,–,BL15936 automatic wagon hitch | Three-quarter view,10,In Stock,,/images/BL15936.jpeg
HT-003,BL15959,Piton-Fix Hitch – 330mm Rail,Tractor Parts,Hitch Solutions,Tractors with 330 mm inner rail width,Sturdy height-adjustable Piton-Fix hitch for trailer and implement operations. Max vertical load 3 t.,Piton-Fix coupling; Height-adjustable; 3 t static vertical load; 330 mm rail,Each,EUR/GBP,–,–,BL15959 Piton-Fix hitch green | Mounted view,10,In Stock,,/images/BL15959.jpeg
HT-004,BL15960,Ball-Type Hitch K80 – 330mm Rail,Tractor Parts,Hitch Solutions,Tractors with 330 mm inner rail width,K80 ball-type height-adjustable hitch. Max static vertical load 4 t.,K80 ball; Height-adjustable; 4 t max vertical load; 330 mm rail,Each,EUR/GBP,–,–,BL15960 K80 ball hitch | Ball and coupling detail,10,In Stock,,/images/BL15960.jpeg
HT-005,BL16502,Ball-Type Hitch K80 – 390mm Rail,Tractor Parts,Hitch Solutions,Tractors with 390 mm inner rail width,K80 ball-type height-adjustable hitch for 390 mm rail tractors.,K80 ball; Height-adjustable; 4 t max vertical load; 390 mm rail,Each,EUR/GBP,–,–,BL16502 K80 ball hitch wide rail | Side view,10,In Stock,,/images/BL16502.jpeg
HT-006,BRE10500,3-Point Hitch Greaseable Pins – 7R / 8R,Tractor Parts,Hitch Solutions,7R; 8020(T); 8030(T); 8R(T/X),"Set of greaseable hitch pins (2 pins + 2 balls) to push out dust, eliminate squeaks and maximise service life.",Greaseable design; Eliminates squeaks; Dust resistance; Set of 2 pins & 2 balls,Set,EUR/GBP,–,–,BRE10500 greaseable hitch pins set | Close-up of pin assembly,11,In Stock,Grease at shortest maintenance interval,/images/BRE10500.jpeg
